anon_item_id,anon_title_code,anon_product_id,anon_leaf_categ_id,anon_slr_id,anon_buyer_id,auct_start_dt,fdbk_score_start,fdbk_pstv_start,auct_end_dt,start_price_usd,photo_count,to_lst_cnt,bo_lst_cnt,count1,ref_price1,count2,ref_price2,count3,ref_price3,item_cndtn_id,view_item_count,wtchr_count,meta_categ_id,item_price,bo_ck_yn,ship_time_slowest,ship_time_fastest,ship_time_chosen,decline_price,accept_price,bin_rev,lstg_gen_type_id,store,ref_price4,count4,slr_us,buyer_us
27115001,37782194,547957,16600,4948743,5658230,04sep2012,629,99.53,04sep2012,12.99,5,481,172,0,7.99,,,,,1500,16,0,11450,7.99,1,9,9,9,,,0,,0,,,1,1
2637812,18137562,547957,5328,8938424,4167167,13jun2012,4407,99.84,13jun2012,7.99,2,2752,243,0,5,,,,,,2,0,1,5,1,6,6,6,,,0,,0,,,1,1
38698634,12515224,547957,5797,2454141,4167167,28jun2012,24655,99.98,28jul2012,37.95,1,154144,2483,0,15,,,,,3000,19,1,220,15,1,6,-1,6,,,1,,1,,,1,1
69685746,429804,547957,10080,9776198,4167167,31jul2012,13492,99.84,31jul2012,159.99,1,23495,613,0,96.25,,,,,3000,14,0,1,100,1,10,6,6,,,0,,0,,,1,1
17301338,22773278,547957,7552,5597618,4167167,25mar2013,3547,98.6,08may2013,26.8,4,4085,582,0,21.8,,,,,3000,1,2,220,21.8,1,10,4,4,,,1,,1,,,1,1
21712491,10201239,547957,1428,7370933,4167167,28aug2012,2086,99.9,28aug2012,10,1,71,51,0,10,0,10,,,3000,3,0,220,10,0,9,9,9,0,9,0,,0,,,1,1
12880181,29566411,547957,3244,6859962,4167167,03jul2012,5122,99.77,03jul2012,39.5,11,107099,4624,0,27,,,,,3000,7,0,1,27,1,6,-1,6,,,0,,0,,,0,1
29859829,42850446,547957,3244,6859962,4167167,20may2013,6284,99.78,15jun2013,299.5,12,159935,22534,0,200,,,,,3000,1,1,1,200,1,23,-1,23,,,0,1,1,,,0,1
66908217,5554704,547957,7016,7632398,4167167,06mar2013,1457,100,07mar2013,11.95,2,6007,3780,0,11.95,0,11.95,,,3000,4,0,1,11.95,0,6,6,6,,,0,,1,,,1,1
61136510,5506364,547957,10080,6610854,4167167,22apr2013,4989,99.9,22apr2013,19,1,1563,503,0,17,0,19,,,,18,0,1,15,1,4,-1,4,,,0,,1,,,0,1
61502892,15814493,547957,8975,2796550,4167167,23feb2013,2582,99.2,26may2013,9.99,1,4236,326,0,9.99,0,9.99,,,4000,28,2,267,9.99,0,10,-1,10,5.99,7.5,0,1,1,,,1,1
18374074,19312977,547957,17310,5056141,9990213,23may2013,2567,99.81,26may2013,19.95,7,5294,3799,0,19.95,0,19.95,,,3000,5,0,11450,19.95,0,6,6,6,16.46,0,0,1,1,,,1,1
11739694,42540780,547957,703,9469102,9990213,05dec2012,5702,99.95,27dec2012,5.95,1,522,239,0,4.25,,,,,3000,3,1,11450,4.25,1,10,10,10,,,1,,1,,,1,1
44450789,3019792,547957,6597,7104580,9990213,11mar2013,206,100,29dec2013,32,4,304,304,0,24,,,,,,81,2,870,24,1,6,-1,6,,,0,,0,,,1,1
1886504,33314029,547957,703,9469102,9990213,05dec2012,5702,99.95,27dec2012,5.1,2,522,239,0,4,,,,,3000,8,1,11450,4,1,10,10,10,,,1,1,1,,,1,1
15807429,13789508,547957,11065,1398733,3450246,07apr2013,790,100,14apr2013,325,12,1364,94,0,325,0,325,,,3000,1,0,11450,325,0,10,2,4,275,275,0,,0,,,1,1
94461695,26666250,547957,15939,4397903,3450246,20apr2013,339,99.71,28jun2013,325,7,58,52,0,325,,,,,1000,227,2,11450,325,1,6,6,6,250,0,1,,0,,,1,1
