anon_item_id,anon_thread_id,anon_byr_id,anon_slr_id,src_cre_dt,fdbk_score_src,fdbk_pstv_src,offr_type_id,status_id,offr_price,src_cre_date,response_time,slr_hist,byr_hist,any_mssg,byr_us
64104688,13650594,6852616,4437257,27may2013,306,99.35,0,7,80,27may2013 19:26:53,29may2013 19:26:53,38,5,,1
62497360,12069415,9508370,4437257,08may2013,306,99.35,0,1,140,08may2013 07:34:59,08may2013 07:35:46,27,7,,1
42394182,5616915,4424414,4437257,25apr2013,304,99.35,0,6,106,25apr2013 12:34:43,25apr2013 12:34:43,,,,0
48001486,5750925,4530231,4437257,20apr2013,304,99.35,0,6,40,20apr2013 05:10:24,20apr2013 05:10:24,7,17,,1
48001486,2833626,2232694,4437257,20apr2013,304,99.35,0,6,55,20apr2013 04:29:28,20apr2013 04:29:28,6,1,,1
90313580,392829,309516,4437257,02dec2012,303,99.35,0,1,641.46,02dec2012 07:41:34,02dec2012 07:43:16,4,38,,1
41739926,5899710,10622205,4437257,13may2013,306,99.35,1,7,160,13may2013 04:40:14,15may2013 04:40:14,,,,0
48001486,6420363,5057847,4437257,20apr2013,304,99.35,0,6,55,20apr2013 10:04:46,20apr2013 10:04:46,8,18,,1
338898,178592,140651,4437257,20apr2013,304,99.35,0,9,175,20apr2013 18:59:19,20apr2013 18:59:19,,,,0
42394182,5616915,4424414,4437257,25apr2013,304,99.35,0,6,99,25apr2013 12:34:27,25apr2013 12:34:27,,,,0
42394182,53094,41687,4437257,30apr2013,304,99.35,0,6,130,30apr2013 13:03:06,30apr2013 13:03:06,,,,0
12581553,3566825,2810187,4437257,25apr2013,304,99.35,0,6,100,25apr2013 16:46:56,25apr2013 16:46:56,15,67,,1
338898,178592,140651,4437257,20apr2013,304,99.35,0,6,165,20apr2013 18:56:48,20apr2013 18:56:48,,,,0
98092942,6679799,5262464,4437257,07may2013,306,99.35,2,1,155,07may2013 18:48:53,07may2013 21:09:57,,,1,0
90313580,7858019,6190890,4437257,14nov2012,303,99.35,0,6,300,14nov2012 08:20:33,14nov2012 08:20:33,2,257,,1
91846614,12242682,9644710,4437257,21apr2013,304,99.35,0,6,275,21apr2013 12:15:55,21apr2013 12:15:55,,,,0
